PS C:\Users\Konrad> & C:/Users/Konrad/AppData/Local/Programs/Python/Python311/python.exe c:/Users/Konrad/GoL-TwT/GoL_class.py
Spiralint: 44412 Generations: 1025 Cycletime: 1
Spiralint: 44427 Generations: 1414 Cycletime: 1
Spiralint: 44538 Generations: 1305 Cycletime: 1
Spiralint: 44593 Generations: 1031 Cycletime: 1
Spiralint: 44661 Generations: 1434 Cycletime: 1
Spiralint: 44778 Generations: 1012 Cycletime: 1
Spiralint: 44811 Generations: 1414 Cycletime: 1
Spiralint: 44850 Generations: 1137 Cycletime: 1
Spiralint: 44858 Generations: 1037 Cycletime: 1
Spiralint: 44917 Generations: 1061 Cycletime: 1
Spiralint: 45048 Generations: 1348 Cycletime: 1
Spiralint: 45195 Generations: 1415 Cycletime: 1
Spiralint: 45409 Generations: 1285 Cycletime: 1
